id,post_url  ,white_family,children,white_supremacy,POC,Passive_women,Active_women,chadwife,religion,men,slavic
40835,https://gaillardia-fields.tumblr.com/post/665790975579504640 ,,,,,1,,,,,
82745,https://gaillardia-fields.tumblr.com/post/625876673565474816 ,,,,,,  ,,,,
51496,https://gaillardia-fields.tumblr.com/post/630488810089775104 ,,,,,,,,,,
57018,https://gaillardia-fields.tumblr.com/post/634362454776922112 ,1,1,,,,1,,,,
120912,https://www.tumblr.com/blog/view/garden-maiden/183812505993 ,,,,,,1,,,,
109005,https://www.tumblr.com/blog/view/gardensof-roses/712985613590233088 ,,,,,,,,,,
12190,https://godslittleprincess.tumblr.com/post/717530587322253312/my-vision-board-coming-true ,,,,1,1,,,,,
198630,https://happykyliee.tumblr.com/post/619243355695693824/i-made-more-bread-im-really-proud-of-myself ,,,,,,,,,,
181361,https://www.tumblr.com/blog/view/homeiswherethewitchcraftis/734911468638781440 ,,,,,,,,,,
33614,https://www.tumblr.com/blog/view/ittybittyprincesskitty2/701539957070872576 ,,,,,,,,1,,
103576,https://katelyn-marie323.tumblr.com/post/698029678260322304/apple-picking-with-the-little-one-today ,1,1,,,1,,,,,
192858,https://katelyn-marie323.tumblr.com/post/653014712172281856/the-making-of-apple-pie-my-first-attempt-at-a ,,,,,,,,,,
193826,https://katelyn-marie323.tumblr.com/post/656163699151781888/herb-bread-dough-kneading ,,,,,1,,,,,
136466,https://katelyn-marie323.tumblr.com/post/653377816211161088/homemade-strawberry-rhubarb-pie-recipe ,,,,,,,,,,
195011,https://katelyn-marie323.tumblr.com/post/674498542179696640/cooking-and-baking-is-so-much-more-than-the ,,,,,,,,,,
159337,https://katelyn-marie323.tumblr.com/post/651104439544020992/fresh-out-of-the-oven ,,,,,,,,,,
137501,https://katelyn-marie323.tumblr.com/post/689940499548815360/wildflowers-in-the-rockies , ,,,,,,,,,
196524,https://katelyn-marie323.tumblr.com/post/653648998978224128/making-lavender-tea ,,,,,,,,,,
178919,https://katelyn-marie323.tumblr.com/post/654266534302203904/doing-some-plant-documenting-and-knitting-under-my ,,,,,,,,,,
33023,https://katelyn-marie323.tumblr.com/post/648821209500401664/i-used-to-envy-movie-and-book-characters-who-would ,,,,,,,,,,
111537,https://katelyn-marie323.tumblr.com/post/653432779336515584/acting-aloof-is-out-were-writing-affectionate ,,,,,,,,,,
14933,https://www.tumblr.com/blog/view/lacepurity/725952272071262208 ,,,,,0,1,,,,
163494,https://www.tumblr.com/blog/view/lacepurity/731225500190720001 ,,,,,,1,,,,
161637,https://ladyhearthkeeper.tumblr.com/post/738323234913763328/a-bread-in-the-oven-a-husband-cracking-seeds-a ,,,,,,,,1,,
89123,https://ladyhearthkeeper.tumblr.com/post/666479596049498112/do-you-have-any-resources-for-homemaking-or-any ,,,,,,,,1,,
202879,https://www.tumblr.com/blog/view/ladyhomesteader/651453577563373568 ,,,,,1,,,,,
88485,https://www.tumblr.com/blog/view/ladyhomesteader/645582091527061504 ,,,,,,,,,,
155005,https://lavenderatlarge.tumblr.com/post/614588053940551681/some-late-night-baking-helps-calm-a-busy-mind ,,,,,1,,1,,,
76834,https://www.tumblr.com/blog/view/libramars/633604116973797376 ,,,,,,,,,,
49922,https://www.tumblr.com/blog/view/libramars/645312078520958976 ,,,,,,,,,,
11234,https://www.tumblr.com/blog/view/libramars/648676785809227776 ,,,1,,,1,,,,
168518,https://www.tumblr.com/blog/view/liliesinwhite/613671291857305600 ,,,,,,,,,,
606,https://www.tumblr.com/blog/view/littleflowerfaith/707899011710042112 ,,,,,,,,1,,
32270,https://www.tumblr.com/blog/view/littleflowerfaith/710426475863687168 ,,,,,,,,,,
82161,https://www.tumblr.com/blog/view/littleflowerfaith/707436787067453440 ,,,,,,,,1,,
51950,https://www.tumblr.com/blog/view/littleflowerfaith/712610266869809152 ,,,,,,,,,,
105590,https://www.tumblr.com/blog/view/littleflowerfaith/684434707216252929 ,,,,,,,,1,,
103680,https://www.tumblr.com/blog/view/littleflowerfaith/685987920493019136 ,,,,,,,,1,,
204219,https://www.tumblr.com/blog/view/melisssg99/708625162393747456 ,,,,,,,,,,
6413,https://www.tumblr.com/blog/view/melisssg99/684529799806533632 ,,,,,,,1,,,
51920,https://www.tumblr.com/blog/view/melisssg99/736177275428601856 ,,,,,,,,,,
58653,https://www.tumblr.com/blog/view/melisssg99/733638459196112897 ,,,,,,,,,,
201658,https://www.tumblr.com/blog/view/modern-tradwife/745703072599359488 ,,,,,,1,,,,
34647,https://mossyredwood.tumblr.com/post/661066959715205120/by-natasha-tarasova ,1,1,,1,,1,,,1,
6292,https://mossyredwood.tumblr.com/post/642740313498189824/sometimes-i-want-to-go-home-and-listen-to ,,,,,1,,,,,
533,https://mossyredwood.tumblr.com/post/645030816301334528/there-were-so-many-trees-in-the-city-that-you ,,,,,1,,,,,
106228,https://mossyredwood.tumblr.com/post/650989743868411904 ,,,,,,,,,,
56530,https://www.tumblr.com/blog/view/mymoonmyfriend/614689912473731072 ,,,,,,,1,,,
134318,https://pink-dino.tumblr.com/post/619556336247635968/first-harvest-of-the-year-this-weekend-ive-been ,,,,,,,,,,
26876,https://pink-dino.tumblr.com/post/620096449790853120/i-must-admit-this-photo-is-not-from-today-but-i ,,,,,1,,,,,
37124,https://pink-dino.tumblr.com/post/619375102725947392/httpswwwinstagramcompcavnnjjdx4rigshid-kjt ,,,,,,1,,,,
69633,https://www.tumblr.com/blog/view/princess-shiratori/717594872770674688 ,,,,,,,,,,
191199,https://ren-in--wonderland.tumblr.com/post/651177565575380992 ,,,,,,,,,,
93405,https://rose-lily-field.tumblr.com/post/670489894072844288 ,,1,,,,,,,,
50718,https://rose-lily-field.tumblr.com/post/677993583424438272 ,,1,,,,,,,,
160264,https://rose-lily-field.tumblr.com/post/663231717550817280 ,1,1,,,,,,,,
175633,https://rose-lily-field.tumblr.com/post/665282598288916480 ,,,,,,,,,,
1418,https://rose-lily-field.tumblr.com/post/660390353820581888 ,,1,,,,,,,,
96980,https://rose-lily-field.tumblr.com/post/659968982783311872 ,,,,,,1,,,,
102951,https://rose-lily-field.tumblr.com/post/641498753748041728/riding-a-bike-through-this-village-on-a-cold ,,,,,,,,1,,
83704,https://rose-lily-field.tumblr.com/post/658956529119166464 ,,1,,,,,,1,,
9862,https://rose-lily-field.tumblr.com/post/650893410239119360 ,,1,,,,,,1,,
41526,https://rose-lily-field.tumblr.com/post/670804834508849152 ,,,,,1,,,1,,
152443,https://rose-lily-field.tumblr.com/post/698459477596356608 ,,1,,1,,,,1,,
148119,https://rose-lily-field.tumblr.com/post/652055447607590912/sometimes-i-wish-i-could-live-on-a-lone-island ,,,,,,,,1,,
23012,https://rose-lily-field.tumblr.com/post/660193309301653504 ,,,,,1,,,1,,
28803,https://rose-lily-field.tumblr.com/post/663670234950008832 ,,,,,1,,,1,,
48956,https://rose-lily-field.tumblr.com/post/670277108018364416 ,,,,,1,,,1,,
28692,https://rose-lily-field.tumblr.com/post/651972750905344000/hiding-in-the-sun ,,,,,,,,1,,
99390,https://rose-lily-field.tumblr.com/post/696513501463724032 ,,,,,,,,1,,
82261,https://rose-lily-field.tumblr.com/post/652071218943492096 ,,,,,,,,1,,
33249,https://rose-lily-field.tumblr.com/post/659161384862515200 ,,1,,,,,,1,,
73026,https://rose-lily-field.tumblr.com/post/697147668675411968/japanese-thimbleweed ,,,,,,,,1,,
95320,https://rose-lily-field.tumblr.com/post/657341665155203072 ,,1,,,,,,1,,
167657,https://rose-lily-field.tumblr.com/post/649865267053248514 ,,,,,1,,,1,,
30562,https://rose-lily-field.tumblr.com/post/696466331404468224 ,,,,,1,,,1,,
110697,https://rose-lily-field.tumblr.com/post/657069847177576448 ,,,,,,,,1,,
110810,https://rose-lily-field.tumblr.com/post/651247999554600960 ,1,1,,,,1,,1,,
7847,https://rose-lily-field.tumblr.com/post/653934325963898880 ,1,1,,,,,,1,,
33531,https://rose-lily-field.tumblr.com/post/651543460965466112 ,,,,,1,,,1,,
22504,https://rose-lily-field.tumblr.com/post/653792491738415104 ,,,,,,,,1,,
177049,https://rose-lily-field.tumblr.com/post/653083586002616320 ,,,,,,,,1,,
149261,https://rose-lily-field.tumblr.com/post/675094478004109312/most-adorable-little-dress  ,,1,,,,,,1,,
170175,https://rose-lily-field.tumblr.com/post/666613722856472576 ,,1,,,,,,1,,
8927,https://rose-lily-field.tumblr.com/post/657944235258101760 ,,,,,,,,1,,
97364,https://rose-lily-field.tumblr.com/post/649065775681912832 ,,,,,,,,1,,
118259,https://rose-lily-field.tumblr.com/post/658216010958176256 ,,,,,1,,,1,,
182215,https://rose-lily-field.tumblr.com/post/695650956709330944 ,,,,,,,,1,,
9588,https://rose-lily-field.tumblr.com/post/695741558715203584 ,,,,,,,,1,,
92915,https://rose-lily-field.tumblr.com/post/653709830195920897 ,,,,,,,,1,,
43942,https://rose-lily-field.tumblr.com/post/663112172911624192 ,,,,,1,,,1,,
8415,https://rose-lily-field.tumblr.com/post/696480785836998656 ,,,,,,,,1,,
168332,https://rose-lily-field.tumblr.com/post/650645386239868928 ,,,,,1,,,1,,
24299,https://rose-lily-field.tumblr.com/post/660035794620334080 ,,,,,,,,1,,
152141,https://rose-lily-field.tumblr.com/post/649814168281792513 ,,,,,,,,1,,
175661,https://rose-lily-field.tumblr.com/post/642006855001980928/i-love-vintage-artwork-in-this-style-these ,,,,,,,,1,,
77147,https://rose-lily-field.tumblr.com/post/653776781145440256 ,,,,,,,,1,,
64483,https://rose-lily-field.tumblr.com/post/655230274595078144 ,,,,,1,,,1,,
98931,https://rose-lily-field.tumblr.com/post/652547928964071424 ,,,,,,,,1,,
91500,https://rose-lily-field.tumblr.com/post/649195716937400320 ,,,,,,,,1,,
183582,https://rose-lily-field.tumblr.com/post/652886540124635137  ,,,,,,,,1,,
169115,https://rose-lily-field.tumblr.com/post/660248558306492416  ,,1,,,,,,1,,
201946,https://rose-lily-field.tumblr.com/post/652031793250336768 ,,,,,,1,,1,,
11231,https://rose-lily-field.tumblr.com/post/648679603859292160 ,,,,,1,,,1,,
140328,https://rose-lily-field.tumblr.com/post/660268121382387713 ,,,,,1,,,1,,
179415,https://rose-lily-field.tumblr.com/post/668079122628673536 ,,1,,,,,,1,,
27584,https://rose-lily-field.tumblr.com/post/649223177448374272 ,1,1,,,,1,,1,,
181925,https://rose-lily-field.tumblr.com/post/648726997632270336 ,1,1,,,1,,,1,1,
64536,https://rose-lily-field.tumblr.com/post/662233882774618112 ,,1,,,,,,1,,
109523,https://rose-lily-field.tumblr.com/post/668638565817876480 ,,1,,,,,,1,,
185243,https://rose-lily-field.tumblr.com/post/648671814399180800 ,,,,,,,,1,,
75254,https://rose-lily-field.tumblr.com/post/655876236183289856 ,,,,,,,,1,,
160423,https://rose-lily-field.tumblr.com/post/649830036274298880/the-sky-is-the-worlds-canvas-it-is-painted-a ,,,,,,,,1,,
78761,https://rose-lily-field.tumblr.com/post/669150433402634240/life-goals-3 ,1,1,,,,1,,1,,
10041,https://rose-lily-field.tumblr.com/post/654178577255890944 ,,,,,,,,1,,
175841,https://rose-lily-field.tumblr.com/post/660331360922255360 ,,,,,1,,,1,,
126049,https://rose-lily-field.tumblr.com/post/648364630481190912 ,,,,,,,,1,,
24464,https://rose-lily-field.tumblr.com/post/663173828427546624 ,,1,,,,,,1,,
11553,https://rose-lily-field.tumblr.com/post/667318902241492992    ,, ,,,,,,1,,
60066,https://rose-lily-field.tumblr.com/post/649577737046179840 ,,,,,1,,,1,,
99164,https://rose-lily-field.tumblr.com/post/652342944365510656 ,,,,,,,,1,,
6302,https://rose-lily-field.tumblr.com/post/668153863367442432 ,,,,,1,,,1,,
47119,https://rose-lily-field.tumblr.com/post/695998860358746113 ,,,,,,,,1,,
48203,https://rose-lily-field.tumblr.com/post/668969277109452800 ,,,,,1,,,1,,
115560,https://rose-lily-field.tumblr.com/post/661930508498976769 ,,,,,,,,1,,
92597,https://rose-lily-field.tumblr.com/post/677788727138025472  ,,1,,,,,,1,,
42484,https://rose-lily-field.tumblr.com/post/661607544739987457 ,,1,,,,,,1,,
167836,https://rose-lily-field.tumblr.com/post/650854025439412224 ,,,,,,,,1,,
126888,https://rose-lily-field.tumblr.com/post/658661131310825472  ,,,,,1,,,1,,
146205,https://rose-lily-field.tumblr.com/post/650030722904719360 ,,,,,1,,,1,,
143545,https://rose-lily-field.tumblr.com/post/662811449854476288 ,,1,,,,,,1,,
110836,https://rose-lily-field.tumblr.com/post/655167340281020416 ,,,,,1,,,1,,
96766,https://rose-lily-field.tumblr.com/post/653315877450694656 ,,,,,,,,1,,
196925,https://rose-lily-field.tumblr.com/post/650456285347741696 ,,,,,1,,,1,,
150336,https://rose-lily-field.tumblr.com/post/653504994891399169 ,,,,,1,,,1,,
66358,https://rose-lily-field.tumblr.com/post/650680635163312128 ,,,,,1,,,1,,
23666,https://rose-lily-field.tumblr.com/post/652630613350809600 ,,,,,,,,1,,
64869,https://rose-lily-field.tumblr.com/post/661107194506379264 ,,1,,,,,,1,,
152298,https://rose-lily-field.tumblr.com/post/656345092751310848 ,,,,,1,,,1,,
202239,https://rose-lily-field.tumblr.com/post/678883819301093376/i-hope-to-reach-this-length-one-day ,,,,,1,,,1,,
200077,https://rose-lily-field.tumblr.com/post/652087027113885696 ,,,,,,,,1,,
77154,https://rose-lily-field.tumblr.com/post/653768841482108928  ,,,,,,,,1,,
121308,https://rose-lily-field.tumblr.com/post/662422873570443264 ,,,,,1,,,1,,
201956,https://rose-lily-field.tumblr.com/post/652023875129016321 ,,1,,,,,,1,,
113319,https://rose-lily-field.tumblr.com/post/658791224577261568 ,,,,,,,,1,,
186033,https://rose-lily-field.tumblr.com/post/652575253439086592 ,,,,,,,,1,,
167571,https://rose-lily-field.tumblr.com/post/655349775107080192 ,,,,,1,,,1,,
170398,https://rose-lily-field.tumblr.com/post/696361236223361024 ,,,,,1,,,1,,
55024,https://rose-lily-field.tumblr.com/post/657112996403937282 , ,,,,,,,1,,
203142,https://rose-lily-field.tumblr.com/post/677713858477080576 ,,1,,,,,,1,,
42023,https://rose-lily-field.tumblr.com/post/650373478199050240 ,,1,,,,,,1,,
64234,https://rose-lily-field.tumblr.com/post/653875300366778368 ,,,,,,,,1,,
136280,https://rose-lily-field.tumblr.com/post/654418784449347584 ,,,,,,,,1,,
60182,https://rose-lily-field.tumblr.com/post/661591798647586816 ,,1,,,,,,1,,
177742,https://rose-lily-field.tumblr.com/post/696332293711790080 ,,,,,1,,,1,,
201939,https://rose-lily-field.tumblr.com/post/652039567240757248 ,,,,,,,,1,,
85037,https://rose-lily-field.tumblr.com/post/650349823270256640/tea-party-date-in-the-garden-with-cute-pink ,,,,,,,,1,,
69476,https://rose-lily-field.tumblr.com/post/668063271352516608 ,,,,,,1,,1,,
11570,https://rose-lily-field.tumblr.com/post/651882161048305665 ,,,,,,,,1,,
169084,https://rose-lily-field.tumblr.com/post/660666038524968960 ,,1,,,,,,1,,
160927,https://rose-lily-field.tumblr.com/post/677895049676193792 ,,1,,,,,,1,,
130271,https://rose-lily-field.tumblr.com/post/658314552417615872 ,,,,,1,,,1,,
155252,https://rose-lily-field.tumblr.com/post/667114019603267584 ,,,,,1,,,1,,
82141,https://rose-lily-field.tumblr.com/post/658586327851401216 ,,,,,,,,1,,
137399,https://rose-lily-field.tumblr.com/post/652228703958564864 ,,,,,,,,1,,
41345,https://rose-lily-field.tumblr.com/post/651090438910017536 ,,,,,1,,,1,,
114749,https://rose-lily-field.tumblr.com/post/649467614825005056 ,,,,,1,,,1,,
13026,https://rose-lily-field.tumblr.com/post/657711840390938624 ,,,,,1,,,1,,
150885,https://rose-lily-field.tumblr.com/post/667378007572348928 ,,1,,,,,,1,,
169221,https://rose-lily-field.tumblr.com/post/659425377064747008 ,,1,,,,,,1,,
167229,https://rose-lily-field.tumblr.com/post/650019600527933441/there-will-be-a-new-baby-in-the-family-soon-later ,,1,,,,,,1,,
194667,https://rose-lily-field.tumblr.com/post/659137730010300416 ,,1,,,,,,1,,
130163,https://rose-lily-field.tumblr.com/post/670533049170132992 ,,,,,1,,,1,,
75321,https://rose-lily-field.tumblr.com/post/661008680650686464 ,,1,,,,,,1,,
44668,https://rose-lily-field.tumblr.com/post/651007656526544896 ,,,,,1,,,1,,
183352,https://rose-lily-field.tumblr.com/post/653225253641781248 ,,1,,,,,,1,,
197407,https://rose-lily-field.tumblr.com/post/651527582632771584 ,,,,,,,,1,,
67603,https://rose-lily-field.tumblr.com/post/651551240918024192 ,,,,,,,,1,,
5244,https://rose-lily-field.tumblr.com/post/653950048546193408/i-really-love-old-houses-no-matter-how-worn-down ,,,,,,,,1,,
19050,https://rose-lily-field.tumblr.com/post/650826472778596352/i-hope-one-day-to-have-a-pantry-filled-like-this ,, ,,,,,,1,,
65513,https://rose-lily-field.tumblr.com/post/648916150607052800 ,,,,,,,,1,,
114166,https://rose-lily-field.tumblr.com/post/658164820454096896 ,,,,,1,,,1,,
92475,https://rose-lily-field.tumblr.com/post/657605498244366336 ,,,,,,,,1,,
170704,https://rose-lily-field.tumblr.com/post/651165188050026496 ,,,,,1,,,1,,
90972,https://rose-lily-field.tumblr.com/post/651661450928144384 ,,,,,,,,1,,
6493,https://rose-lily-field.tumblr.com/post/651082514338906112 ,,,,,,,,1,,
108846,https://rose-lily-field.tumblr.com/post/668713240038195200 ,,,,,1,,,1,,
77641,https://rose-lily-field.tumblr.com/post/651815231964823552/spiky-yet-somewhat-soft ,,,,,,,,1,,
78188,https://rose-lily-field.tumblr.com/post/659484528302227456/a-fathers-love-is-so-important-for-a-child-to ,,1,,1,,,,1,1,
33076,https://rose-lily-field.tumblr.com/post/650168635957067776 ,,,,,1,,,1,,
53704,https://rose-lily-field.tumblr.com/post/649648706128347136 ,,,,,1,,,1,,
78194,https://rose-lily-field.tumblr.com/post/659476466311004160 ,,,,,1,,,1,,
31168,https://rose-lily-field.tumblr.com/post/649857455861399553 ,,,,,1,,,1,,
126390,https://rose-lily-field.tumblr.com/post/659657642349920256 ,,,,,1,,,1,,
159637,https://rose-lily-field.tumblr.com/post/651362247144325120/a-whole-world-in-a-pendant ,,,,,1,,,1,,
198742,https://rose-lily-field.tumblr.com/post/649081598844796928/swinging-in-a-field-as-the-warm-summer-breeze ,,,,,,,,1,,
153014,https://rose-lily-field.tumblr.com/post/656238628776869888 ,,,,,1,,,1,,
44306,https://rose-lily-field.tumblr.com/post/676378686443880448 ,,1,,,,,,1,,
118874,https://rose-lily-field.tumblr.com/post/657251067777761281 ,,,,,,,,1,,
48958,https://rose-lily-field.tumblr.com/post/670269179949137920 ,,,,,,1,,1,,
35393,https://rose-lily-field.tumblr.com/post/679033432362369024 ,,1,,,,,,1,,
37865,https://rose-lily-field.tumblr.com/post/720264372390346752 ,,,,,,,,1,,
138822,https://rose-lily-field.tumblr.com/post/654395117739835392 ,,,,,,,,1,,
149860,https://rose-lily-field.tumblr.com/post/654895543560110080 ,,,,,,,,1,,
204477,https://rose-lily-field.tumblr.com/post/694639906737258496 ,,,,,,,,1,,
112474,https://rose-lily-field.tumblr.com/post/667913656027234304 ,,,,,,,,1,,
204554,https://rose-lily-field.tumblr.com/post/670218014532190208 ,,1,,,,,,1,,
89796,https://rose-lily-field.tumblr.com/post/652855085858209792 ,,,,,,,,1,,
197899,https://rose-lily-field.tumblr.com/post/658909223289225216 ,,,,1,,1,,1,,
203800,https://rose-lily-field.tumblr.com/post/651716696721211392/theres-a-squirrel-forest-near-me-where-they ,,,,,,,,1,,
